Word,Starting Letter,WordLength,Scrabble Value,Max Possible Bouns
AARDWOLF, A,8,15,53
AARONIC, A,7,9,27
AARONICAL, A,9,11,39
AARONITE, A,8,8,26
AARONITIC, A,9,11,39
ABACATE, A,7,11,31
ABACAY, A,6,13,34
ABACINATE, A,9,13,45
ABACINATION, A,11,15,51
ABACIST, A,7,11,31
ABACTINAL, A,9,13,45
ABACTINALLY, A,11,18,62
ABACTION, A,8,12,42
ABACTOR, A,7,11,31
ABACULUS, A,8,12,42
ABACUS, A,6,10,26
ABADITE, A,7,10,29
ABAFT, A,5,10,20
ABAISANCE, A,9,13,45
ABAISER, A,7,9,27
ABAISSED, A,8,11,39
ABALIENATE, A,10,12,42
ABALIENATION, A,12,14,48
ABALONE, A,7,9,27
ABAMPERE, A,8,14,48
ABANDON, A,7,10,29
ABANDONED, A,9,13,45
ABANDONEDLY, A,11,18,62
ABANDONEE, A,9,12,42
ABANDONER, A,9,12,42
ABANDONMENT, A,11,16,54
ABANIC, A,6,10,26
ABANTES, A,7,9,27
ABAPTISTON, A,10,14,48
ABARIS, A,6,8,22
ABARTHROSIS, A,11,16,56
ABARTICULAR, A,11,15,51
ABARTICULATION, A,14,18,60
ABASED, A,6,9,24
ABASEDLY, A,8,14,50
ABASEDNESS, A,10,13,45
ABASEMENT, A,9,13,45
ABASER, A,6,8,22
ABASGI, A,6,9,24
ABASH, A,5,10,20
ABASHED, A,7,13,38
ABASHEDLY, A,9,18,62
ABASHEDNESS, A,11,17,59
ABASHLESS, A,9,14,50
ABASHLESSLY, A,11,19,65
ABASHMENT, A,9,16,56
ABASIA, A,6,8,22
ABASIC, A,6,10,26
ABASSIN, A,7,9,27
ABATEMENT, A,9,13,45
ABATER, A,6,8,22
ABATIS, A,6,8,22
ABATISED, A,8,11,39
ABATON, A,6,8,22
ABATOR, A,6,8,22
ABATTOIR, A,8,10,36
ABATUA, A,6,8,22
ABATURE, A,7,9,27
ABAVE, A,5,10,20
ABDERIAN, A,8,11,39
ABDERITE, A,8,11,39
ABDEST, A,6,9,24
ABDICANT, A,8,13,45
ABDICATE, A,8,13,45
ABDICATION, A,10,15,51
ABDICATIVE, A,10,18,62
ABDICATOR, A,9,14,48
ABDIEL, A,6,9,24
ABDITIVE, A,8,14,50
ABDITORY, A,8,14,50
ABDOMEN, A,7,12,33
ABDOMINAL, A,9,14,48
ABDOMINALES, A,11,16,54
ABDOMINALIAN, A,12,17,57
ABDOMINALLY, A,11,19,65
ABDOMINOSCOPE, A,13,22,72
ABDOMINOSCOPY, A,13,25,83
ABDOMINOUS, A,10,15,51
ABDUCE, A,6,11,28
ABDUCENS, A,8,13,45
ABDUCENT, A,8,13,45
ABDUCT, A,6,11,28
ABDUCTION, A,9,14,48
ABDUCTOR, A,8,13,45
ABEARANCE, A,9,13,45
ABECEDARIAN, A,11,16,54
ABECEDARIUM, A,11,18,60
ABECEDARY, A,9,17,59
ABEIGH, A,6,12,32
ABELIA, A,6,8,22
ABELIAN, A,7,9,27
ABELICEA, A,8,12,42
ABELITE, A,7,9,27
ABELMOSCHUS, A,11,20,68
ABELONIAN, A,9,11,39
ABELTREE, A,8,10,36
ABENCERRAGES, A,12,17,57
ABENTERIC, A,9,13,45
ABEPITHYMIA, A,11,23,77
ABERDEEN, A,8,11,39
ABERDEVINE, A,10,16,56
ABERDONIAN, A,10,13,45
ABERIA, A,6,8,22
ABERRANCE, A,9,13,45
ABERRANCY, A,9,16,56
ABERRANT, A,8,10,36
ABERRATE, A,8,10,36
ABERRATION, A,10,12,42
ABERRATIONAL, A,12,14,48
ABERRATOR, A,9,11,39
ABERROMETER, A,11,15,51
ABERROSCOPE, A,11,17,57
ABERUNCATOR, A,11,15,51
ABETMENT, A,8,12,42
ABETTAL, A,7,9,27
ABETTOR, A,7,9,27
ABEVACUATION, A,12,19,65
ABEYANCE, A,8,15,53
ABEYANT, A,7,12,36
ABFARAD, A,7,13,38
ABHENRY, A,7,15,42
ABHOR, A,5,10,20
ABHORRENCE, A,10,17,59
ABHORRENCY, A,10,20,68
ABHORRENT, A,9,14,50
